2015-10-27 18:16:14 - ERROR <--> [pinterest]上传失败<-->[653]<-->[@{"message":"Not valid base64 data.","type":"api"}@] 
2015-10-27 18:16:35 - ERROR <--> [pinterest]上传失败<-->[653]<--> 
2015-10-27 18:16:51 - ERROR <--> [pinterest]上传失败<-->[654]<-->[@{"message":"Not valid base64 data.","type":"api"}@] 
2015-10-27 18:17:54 - ERROR <--> [pinterest]上传失败<-->[655]<-->[@{"message":"Not valid base64 data.","type":"api"}@] 
2015-10-27 18:21:27 - ERROR <--> [pinterest]上传失败<-->[658]<-->[@{"message":"Not valid base64 data.","type":"api"}@] 
2015-10-27 18:21:31 - ERROR <--> [pinterest]上传失败<-->[658]<-->[@{"message":"Not valid base64 data.","type":"api"}@] 
2015-10-27 18:23:25 - ERROR <--> [pinterest]上传失败<-->[663]<-->[@{"status":"failure","code":3,"host":"devplatform-devapi-prod-79cc82ad","generated_at":"Tue, 27 Oct 2015 10:23:25 +0000","message":"Authorization failed.","data":null}@] 
2015-10-27 18:23:38 - ERROR <--> [pinterest]上传失败<-->[663]<-->[@{"message":"\/v1\/pins\/ didn't finish after 7 seconds:task_flow:create_pin:396385508672:411518800:generate_thumbnail_and_upload running for 6.89 seconds","type":"api"}@] 
2015-10-27 18:24:42 - ERROR <--> [pinterest]上传失败<-->[664]<-->[@{"message":"Not valid base64 data.","type":"api"}@] 
2015-10-27 18:28:04 - ERROR <--> [pinterest]上传失败<-->[669]<-->[@{"message":"Not valid base64 data.","type":"api"}@] 
2015-10-27 18:28:33 - ERROR <--> [pinterest]上传失败<-->[670]<-->[@{"message":"Not valid base64 data.","type":"api"}@] 
2015-10-27 18:29:36 - ERROR <--> [pinterest]上传失败<-->[671]<-->[@{"message":"Not valid base64 data.","type":"api"}@] 
2015-10-27 18:32:31 - ERROR <--> [pinterest]上传失败<-->[676]<-->[@{"message":"Not valid base64 data.","type":"api"}@] 
2015-10-27 18:33:44 - ERROR <--> [pinterest]上传失败<-->[677]<-->[@{"message":"Not valid base64 data.","type":"api"}@] 
2015-10-27 18:34:58 - ERROR <--> [pinterest]上传失败<-->[678]<-->[@{"message":"Not valid base64 data.","type":"api"}@] 
2015-10-27 18:36:33 - ERROR <--> [pinterest]上传失败<-->[680]<-->[@{"message":"Not valid base64 data.","type":"api"}@] 
2015-10-27 18:40:09 - ERROR <--> [pinterest]上传失败<-->[686]<-->[@{"message":"Not valid base64 data.","type":"api"}@] 
2015-10-27 18:43:12 - ERROR <--> [pinterest]上传失败<-->[693]<-->[@{"message":"Sorry! You've hit a block (Pins) we have in place to combat spam. Please try again later.","type":"api"}@] 
2015-10-27 18:43:21 - ERROR <--> [pinterest]上传失败<-->[694]<-->[@{"message":"Sorry! You've hit a block (Pins) we have in place to combat spam. Please try again later.","type":"api"}@] 
